,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,800,Chum,1950,NA,NA,NA,HG
2,801,Chum,1950,NA,330400,NA,HG
3,802,Chum,1950,NA,11000,NA,HG
4,803,Chum,1950,NA,331272,NA,HG
5,804,Chum,1950,NA,82300,NA,HG
6,805,Chinook,1950,NA,NA,NA,HG
7,806,Chinook,1950,NA,NA,NA,HG
8,807,Coho,1950,NA,33269,NA,HG
9,808,Coho,1950,NA,3645,NA,HG
10,809,Coho,1950,NA,24050,NA,HG
11,810,Pink (Even),1950,NA,NA,NA,HG
12,811,Pink (Even),1950,NA,357250,NA,HG
13,812,Pink (Even),1950,NA,2.00E+05,NA,HG
14,813,Pink (Odd),1950,NA,NA,NA,HG
15,814,Pink (Odd),1950,NA,NA,NA,HG
16,815,Pink (Odd),1950,NA,NA,NA,HG
17,816,River Sockeye,1950,NA,25,NA,HG
18,817,River Sockeye,1950,NA,NA,NA,HG
19,818,River Sockeye,1950,NA,NA,NA,HG
20,819,Lake Sockeye,1950,NA,NA,NA,HG
21,820,Lake Sockeye,1950,NA,NA,NA,HG
22,821,Lake Sockeye,1950,NA,NA,NA,HG
23,822,Lake Sockeye,1950,NA,NA,NA,HG
24,823,Lake Sockeye,1950,NA,NA,NA,HG
25,824,Lake Sockeye,1950,NA,200,NA,HG
26,825,Lake Sockeye,1950,NA,5000,NA,HG
27,826,Lake Sockeye,1950,NA,6000,NA,HG
28,827,Lake Sockeye,1950,NA,NA,NA,HG
29,800,Chum,1951,NA,200,NA,HG
30,801,Chum,1951,NA,363900,NA,HG
31,802,Chum,1951,NA,119000,NA,HG
32,803,Chum,1951,NA,349600,NA,HG
33,804,Chum,1951,NA,108100,NA,HG
34,805,Chinook,1951,NA,NA,NA,HG
35,806,Chinook,1951,NA,NA,NA,HG
36,807,Coho,1951,NA,34043,NA,HG
37,808,Coho,1951,NA,18550,NA,HG
38,809,Coho,1951,NA,120300,NA,HG
39,810,Pink (Even),1951,NA,NA,NA,HG
40,811,Pink (Even),1951,NA,NA,NA,HG
41,812,Pink (Even),1951,NA,NA,NA,HG
42,813,Pink (Odd),1951,NA,29775,NA,HG
43,814,Pink (Odd),1951,NA,3500,NA,HG
44,815,Pink (Odd),1951,NA,8550,NA,HG
45,816,River Sockeye,1951,NA,NA,NA,HG
46,817,River Sockeye,1951,NA,400,NA,HG
47,818,River Sockeye,1951,NA,NA,NA,HG
48,819,Lake Sockeye,1951,NA,3500,NA,HG
49,820,Lake Sockeye,1951,NA,NA,NA,HG
50,821,Lake Sockeye,1951,NA,NA,NA,HG
51,822,Lake Sockeye,1951,NA,3500,NA,HG
52,823,Lake Sockeye,1951,NA,7500,NA,HG
53,824,Lake Sockeye,1951,NA,300,NA,HG
54,825,Lake Sockeye,1951,NA,3500,NA,HG
55,826,Lake Sockeye,1951,NA,15000,NA,HG
56,827,Lake Sockeye,1951,NA,7500,NA,HG
57,800,Chum,1952,NA,200,NA,HG
58,801,Chum,1952,NA,470250,NA,HG
59,802,Chum,1952,NA,50600,NA,HG
60,803,Chum,1952,NA,496075,NA,HG
61,804,Chum,1952,NA,253500,NA,HG
62,805,Chinook,1952,NA,1500,NA,HG
63,806,Chinook,1952,NA,NA,NA,HG
64,807,Coho,1952,NA,66600,NA,HG
65,808,Coho,1952,NA,5980,NA,HG
66,809,Coho,1952,NA,23950,NA,HG
67,810,Pink (Even),1952,NA,NA,NA,HG
68,811,Pink (Even),1952,NA,715050,NA,HG
69,812,Pink (Even),1952,NA,630750,NA,HG
70,813,Pink (Odd),1952,NA,NA,NA,HG
71,814,Pink (Odd),1952,NA,NA,NA,HG
72,815,Pink (Odd),1952,NA,NA,NA,HG
73,816,River Sockeye,1952,NA,NA,NA,HG
74,817,River Sockeye,1952,NA,NA,NA,HG
75,818,River Sockeye,1952,NA,NA,NA,HG
76,819,Lake Sockeye,1952,NA,NA,NA,HG
77,820,Lake Sockeye,1952,NA,400,NA,HG
78,821,Lake Sockeye,1952,NA,NA,NA,HG
79,822,Lake Sockeye,1952,NA,NA,NA,HG
80,823,Lake Sockeye,1952,NA,3500,NA,HG
81,824,Lake Sockeye,1952,NA,NA,NA,HG
82,825,Lake Sockeye,1952,NA,3500,NA,HG
83,826,Lake Sockeye,1952,NA,3500,NA,HG
84,827,Lake Sockeye,1952,NA,3500,NA,HG
85,800,Chum,1953,NA,400,NA,HG
86,801,Chum,1953,NA,83700,NA,HG
87,802,Chum,1953,NA,121075,NA,HG
88,803,Chum,1953,NA,53400,NA,HG
89,804,Chum,1953,NA,55925,NA,HG
90,805,Chinook,1953,NA,NA,NA,HG
91,806,Chinook,1953,NA,NA,NA,HG
92,807,Coho,1953,NA,20575,NA,HG
93,808,Coho,1953,NA,1479,NA,HG
94,809,Coho,1953,NA,2350,NA,HG
95,810,Pink (Even),1953,NA,NA,NA,HG
96,811,Pink (Even),1953,NA,NA,NA,HG
97,812,Pink (Even),1953,NA,NA,NA,HG
98,813,Pink (Odd),1953,NA,25775,NA,HG
99,814,Pink (Odd),1953,NA,3500,NA,HG
100,815,Pink (Odd),1953,NA,1600,NA,HG
101,816,River Sockeye,1953,NA,25,NA,HG
102,817,River Sockeye,1953,NA,NA,NA,HG
103,818,River Sockeye,1953,NA,NA,NA,HG
104,819,Lake Sockeye,1953,NA,NA,NA,HG
105,820,Lake Sockeye,1953,NA,750,NA,HG
106,821,Lake Sockeye,1953,NA,400,NA,HG
107,822,Lake Sockeye,1953,NA,750,NA,HG
108,823,Lake Sockeye,1953,NA,3500,NA,HG
109,824,Lake Sockeye,1953,NA,3500,NA,HG
110,825,Lake Sockeye,1953,NA,750,NA,HG
111,826,Lake Sockeye,1953,NA,15000,NA,HG
112,827,Lake Sockeye,1953,NA,NA,NA,HG
113,800,Chum,1954,6000,NA,6000,HG
114,801,Chum,1954,NA,136725,NA,HG
115,802,Chum,1954,154144,125750,154144,HG
116,803,Chum,1954,78290,99200,78290,HG
117,804,Chum,1954,115891,236200,115891,HG
